Emote Name,Image URL
:-O,https://static-cdn.jtvnw.net/emoticons/v2/555555581/default/dark/3.0
:O,https://static-cdn.jtvnw.net/emoticons/v2/555555580/default/dark/3.0
8-),https://static-cdn.jtvnw.net/emoticons/v2/555555579/default/dark/3.0
B-),https://static-cdn.jtvnw.net/emoticons/v2/555555578/default/dark/3.0
B),https://static-cdn.jtvnw.net/emoticons/v2/555555577/default/dark/3.0
o.o,https://static-cdn.jtvnw.net/emoticons/v2/555555576/default/dark/3.0
o_o,https://static-cdn.jtvnw.net/emoticons/v2/555555575/default/dark/3.0
o.O,https://static-cdn.jtvnw.net/emoticons/v2/555555574/default/dark/3.0
o_O,https://static-cdn.jtvnw.net/emoticons/v2/555555573/default/dark/3.0
O.O,https://static-cdn.jtvnw.net/emoticons/v2/555555572/default/dark/3.0
O_O,https://static-cdn.jtvnw.net/emoticons/v2/555555571/default/dark/3.0
O.o,https://static-cdn.jtvnw.net/emoticons/v2/555555570/default/dark/3.0
O_o,https://static-cdn.jtvnw.net/emoticons/v2/555555569/default/dark/3.0
:-Z,https://static-cdn.jtvnw.net/emoticons/v2/555555568/default/dark/3.0
:Z,https://static-cdn.jtvnw.net/emoticons/v2/555555567/default/dark/3.0
:-z,https://static-cdn.jtvnw.net/emoticons/v2/555555566/default/dark/3.0
:z,https://static-cdn.jtvnw.net/emoticons/v2/555555565/default/dark/3.0
:-|,https://static-cdn.jtvnw.net/emoticons/v2/555555564/default/dark/3.0
:|,https://static-cdn.jtvnw.net/emoticons/v2/555555563/default/dark/3.0
>(,https://static-cdn.jtvnw.net/emoticons/v2/555555562/default/dark/3.0
:-D,https://static-cdn.jtvnw.net/emoticons/v2/555555561/default/dark/3.0
:D,https://static-cdn.jtvnw.net/emoticons/v2/555555560/default/dark/3.0
:-(,https://static-cdn.jtvnw.net/emoticons/v2/555555559/default/dark/3.0
:(,https://static-cdn.jtvnw.net/emoticons/v2/555555558/default/dark/3.0
:-),https://static-cdn.jtvnw.net/emoticons/v2/555555557/default/dark/3.0
BOP,https://static-cdn.jtvnw.net/emoticons/v2/301428702/default/dark/3.0
SingsNote,https://static-cdn.jtvnw.net/emoticons/v2/300116350/default/dark/3.0
SingsMic,https://static-cdn.jtvnw.net/emoticons/v2/300116349/default/dark/3.0
TwitchSings,https://static-cdn.jtvnw.net/emoticons/v2/300116344/default/dark/3.0
SoonerLater,https://static-cdn.jtvnw.net/emoticons/v2/2113050/default/dark/3.0
HolidayTree,https://static-cdn.jtvnw.net/emoticons/v2/1713825/default/dark/3.0
HolidaySanta,https://static-cdn.jtvnw.net/emoticons/v2/1713822/default/dark/3.0
HolidayPresent,https://static-cdn.jtvnw.net/emoticons/v2/1713819/default/dark/3.0
HolidayLog,https://static-cdn.jtvnw.net/emoticons/v2/1713816/default/dark/3.0
HolidayCookie,https://static-cdn.jtvnw.net/emoticons/v2/1713813/default/dark/3.0
GunRun,https://static-cdn.jtvnw.net/emoticons/v2/1584743/default/dark/3.0
PixelBob,https://static-cdn.jtvnw.net/emoticons/v2/1547903/default/dark/3.0
FBPenalty,https://static-cdn.jtvnw.net/emoticons/v2/1441289/default/dark/3.0
FBChallenge,https://static-cdn.jtvnw.net/emoticons/v2/1441285/default/dark/3.0
FBCatch,https://static-cdn.jtvnw.net/emoticons/v2/1441281/default/dark/3.0
FBBlock,https://static-cdn.jtvnw.net/emoticons/v2/1441276/default/dark/3.0
FBSpiral,https://static-cdn.jtvnw.net/emoticons/v2/1441273/default/dark/3.0
FBPass,https://static-cdn.jtvnw.net/emoticons/v2/1441271/default/dark/3.0
FBRun,https://static-cdn.jtvnw.net/emoticons/v2/1441261/default/dark/3.0
MaxLOL,https://static-cdn.jtvnw.net/emoticons/v2/1290325/default/dark/3.0
TwitchRPG,https://static-cdn.jtvnw.net/emoticons/v2/1220086/default/dark/3.0
PinkMercy,https://static-cdn.jtvnw.net/emoticons/v2/1003190/default/dark/3.0
MercyWing2,https://static-cdn.jtvnw.net/emoticons/v2/1003189/default/dark/3.0
MercyWing1,https://static-cdn.jtvnw.net/emoticons/v2/1003187/default/dark/3.0
PartyHat,https://static-cdn.jtvnw.net/emoticons/v2/965738/default/dark/3.0
EarthDay,https://static-cdn.jtvnw.net/emoticons/v2/959018/default/dark/3.0
TombRaid,https://static-cdn.jtvnw.net/emoticons/v2/864205/default/dark/3.0
PopCorn,https://static-cdn.jtvnw.net/emoticons/v2/724216/default/dark/3.0
FBtouchdown,https://static-cdn.jtvnw.net/emoticons/v2/626795/default/dark/3.0
TPFufun,https://static-cdn.jtvnw.net/emoticons/v2/508650/default/dark/3.0
TwitchVotes,https://static-cdn.jtvnw.net/emoticons/v2/479745/default/dark/3.0
DarkMode,https://static-cdn.jtvnw.net/emoticons/v2/461298/default/dark/3.0
HSWP,https://static-cdn.jtvnw.net/emoticons/v2/446979/default/dark/3.0
HSCheers,https://static-cdn.jtvnw.net/emoticons/v2/444572/default/dark/3.0
PowerUpL,https://static-cdn.jtvnw.net/emoticons/v2/425688/default/dark/3.0
PowerUpR,https://static-cdn.jtvnw.net/emoticons/v2/425671/default/dark/3.0
LUL,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0
EntropyWins,https://static-cdn.jtvnw.net/emoticons/v2/376765/default/dark/3.0
TPcrunchyroll,https://static-cdn.jtvnw.net/emoticons/v2/323914/default/dark/3.0
TwitchUnity,https://static-cdn.jtvnw.net/emoticons/v2/196892/default/dark/3.0
Squid4,https://static-cdn.jtvnw.net/emoticons/v2/191767/default/dark/3.0
Squid3,https://static-cdn.jtvnw.net/emoticons/v2/191764/default/dark/3.0
Squid2,https://static-cdn.jtvnw.net/emoticons/v2/191763/default/dark/3.0
Squid1,https://static-cdn.jtvnw.net/emoticons/v2/191762/default/dark/3.0
CrreamAwk,https://static-cdn.jtvnw.net/emoticons/v2/191313/default/dark/3.0
CarlSmile,https://static-cdn.jtvnw.net/emoticons/v2/166266/default/dark/3.0
TwitchLit,https://static-cdn.jtvnw.net/emoticons/v2/166263/default/dark/3.0
TehePelo,https://static-cdn.jtvnw.net/emoticons/v2/160404/default/dark/3.0
TearGlove,https://static-cdn.jtvnw.net/emoticons/v2/160403/default/dark/3.0
SabaPing,https://static-cdn.jtvnw.net/emoticons/v2/160402/default/dark/3.0
PunOko,https://static-cdn.jtvnw.net/emoticons/v2/160401/default/dark/3.0
KonCha,https://static-cdn.jtvnw.net/emoticons/v2/160400/default/dark/3.0
Kappu,https://static-cdn.jtvnw.net/emoticons/v2/160397/default/dark/3.0
InuyoFace,https://static-cdn.jtvnw.net/emoticons/v2/160396/default/dark/3.0
BigPhish,https://static-cdn.jtvnw.net/emoticons/v2/160395/default/dark/3.0
BegWan,https://static-cdn.jtvnw.net/emoticons/v2/160394/default/dark/3.0
ThankEgg,https://static-cdn.jtvnw.net/emoticons/v2/160392/default/dark/3.0
MorphinTime,https://static-cdn.jtvnw.net/emoticons/v2/156787/default/dark/3.0
TheIlluminati,https://static-cdn.jtvnw.net/emoticons/v2/145315/default/dark/3.0
TBAngel,https://static-cdn.jtvnw.net/emoticons/v2/143490/default/dark/3.0
MVGame,https://static-cdn.jtvnw.net/emoticons/v2/142140/default/dark/3.0
NinjaGrumpy,https://static-cdn.jtvnw.net/emoticons/v2/138325/default/dark/3.0
PartyTime,https://static-cdn.jtvnw.net/emoticons/v2/135393/default/dark/3.0
RlyTho,https://static-cdn.jtvnw.net/emoticons/v2/134256/default/dark/3.0
UWot,https://static-cdn.jtvnw.net/emoticons/v2/134255/default/dark/3.0
YouDontSay,https://static-cdn.jtvnw.net/emoticons/v2/134254/default/dark/3.0
KAPOW,https://static-cdn.jtvnw.net/emoticons/v2/133537/default/dark/3.0
ItsBoshyTime,https://static-cdn.jtvnw.net/emoticons/v2/133468/default/dark/3.0
CoolStoryBob,https://static-cdn.jtvnw.net/emoticons/v2/123171/default/dark/3.0
TriHard,https://static-cdn.jtvnw.net/emoticons/v2/120232/default/dark/3.0
SuperVinlin,https://static-cdn.jtvnw.net/emoticons/v2/118772/default/dark/3.0
FreakinStinkin,https://static-cdn.jtvnw.net/emoticons/v2/117701/default/dark/3.0
Poooound,https://static-cdn.jtvnw.net/emoticons/v2/117484/default/dark/3.0
CurseLit,https://static-cdn.jtvnw.net/emoticons/v2/116625/default/dark/3.0
BatChest,https://static-cdn.jtvnw.net/emoticons/v2/115234/default/dark/3.0
BrainSlug,https://static-cdn.jtvnw.net/emoticons/v2/115233/default/dark/3.0
PrimeMe,https://static-cdn.jtvnw.net/emoticons/v2/115075/default/dark/3.0
StrawBeary,https://static-cdn.jtvnw.net/emoticons/v2/114876/default/dark/3.0
RaccAttack,https://static-cdn.jtvnw.net/emoticons/v2/114870/default/dark/3.0
UncleNox,https://static-cdn.jtvnw.net/emoticons/v2/114856/default/dark/3.0
WTRuck,https://static-cdn.jtvnw.net/emoticons/v2/114847/default/dark/3.0
TooSpicy,https://static-cdn.jtvnw.net/emoticons/v2/114846/default/dark/3.0
Jebaited,https://static-cdn.jtvnw.net/emoticons/v2/114836/default/dark/3.0
DogFace,https://static-cdn.jtvnw.net/emoticons/v2/114835/default/dark/3.0
BlargNaut,https://static-cdn.jtvnw.net/emoticons/v2/114738/default/dark/3.0
TakeNRG,https://static-cdn.jtvnw.net/emoticons/v2/112292/default/dark/3.0
GivePLZ,https://static-cdn.jtvnw.net/emoticons/v2/112291/default/dark/3.0
imGlitch,https://static-cdn.jtvnw.net/emoticons/v2/112290/default/dark/3.0
pastaThat,https://static-cdn.jtvnw.net/emoticons/v2/112289/default/dark/3.0
copyThis,https://static-cdn.jtvnw.net/emoticons/v2/112288/default/dark/3.0
UnSane,https://static-cdn.jtvnw.net/emoticons/v2/111792/default/dark/3.0
DatSheffy,https://static-cdn.jtvnw.net/emoticons/v2/111700/default/dark/3.0
TheTarFu,https://static-cdn.jtvnw.net/emoticons/v2/111351/default/dark/3.0
PicoMause,https://static-cdn.jtvnw.net/emoticons/v2/111300/default/dark/3.0
TinyFace,https://static-cdn.jtvnw.net/emoticons/v2/111119/default/dark/3.0
DxCat,https://static-cdn.jtvnw.net/emoticons/v2/110734/default/dark/3.0
RuleFive,https://static-cdn.jtvnw.net/emoticons/v2/107030/default/dark/3.0
VoteNay,https://static-cdn.jtvnw.net/emoticons/v2/106294/default/dark/3.0
VoteYea,https://static-cdn.jtvnw.net/emoticons/v2/106293/default/dark/3.0
PJSugar,https://static-cdn.jtvnw.net/emoticons/v2/102556/default/dark/3.0
DoritosChip,https://static-cdn.jtvnw.net/emoticons/v2/102242/default/dark/3.0
OpieOP,https://static-cdn.jtvnw.net/emoticons/v2/100590/default/dark/3.0
FutureMan,https://static-cdn.jtvnw.net/emoticons/v2/98562/default/dark/3.0
ChefFrank,https://static-cdn.jtvnw.net/emoticons/v2/90129/default/dark/3.0
StinkyCheese,https://static-cdn.jtvnw.net/emoticons/v2/90076/default/dark/3.0
NomNom,https://static-cdn.jtvnw.net/emoticons/v2/90075/default/dark/3.0
SmoocherZ,https://static-cdn.jtvnw.net/emoticons/v2/89945/default/dark/3.0
cmonBruh,https://static-cdn.jtvnw.net/emoticons/v2/84608/default/dark/3.0
KappaWealth,https://static-cdn.jtvnw.net/emoticons/v2/81997/default/dark/3.0
MikeHogu,https://static-cdn.jtvnw.net/emoticons/v2/81636/default/dark/3.0
VoHiYo,https://static-cdn.jtvnw.net/emoticons/v2/81274/default/dark/3.0
KomodoHype,https://static-cdn.jtvnw.net/emoticons/v2/81273/default/dark/3.0
SeriousSloth,https://static-cdn.jtvnw.net/emoticons/v2/81249/default/dark/3.0
OSFrog,https://static-cdn.jtvnw.net/emoticons/v2/81248/default/dark/3.0
OhMyDog,https://static-cdn.jtvnw.net/emoticons/v2/81103/default/dark/3.0
KappaClaus,https://static-cdn.jtvnw.net/emoticons/v2/74510/default/dark/3.0
KappaRoss,https://static-cdn.jtvnw.net/emoticons/v2/70433/default/dark/3.0
MingLee,https://static-cdn.jtvnw.net/emoticons/v2/68856/default/dark/3.0
SeemsGood,https://static-cdn.jtvnw.net/emoticons/v2/64138/default/dark/3.0
twitchRaid,https://static-cdn.jtvnw.net/emoticons/v2/62836/default/dark/3.0
bleedPurple,https://static-cdn.jtvnw.net/emoticons/v2/62835/default/dark/3.0
duDudu,https://static-cdn.jtvnw.net/emoticons/v2/62834/default/dark/3.0
riPepperonis,https://static-cdn.jtvnw.net/emoticons/v2/62833/default/dark/3.0
NotLikeThis,https://static-cdn.jtvnw.net/emoticons/v2/58765/default/dark/3.0
DendiFace,https://static-cdn.jtvnw.net/emoticons/v2/58135/default/dark/3.0
CoolCat,https://static-cdn.jtvnw.net/emoticons/v2/58127/default/dark/3.0
KappaPride,https://static-cdn.jtvnw.net/emoticons/v2/55338/default/dark/3.0
ShadyLulu,https://static-cdn.jtvnw.net/emoticons/v2/52492/default/dark/3.0
ArgieB8,https://static-cdn.jtvnw.net/emoticons/v2/51838/default/dark/3.0
CorgiDerp,https://static-cdn.jtvnw.net/emoticons/v2/49106/default/dark/3.0
PraiseIt,https://static-cdn.jtvnw.net/emoticons/v2/38586/default/dark/3.0
