Emote,ID,Image URL
Tssk,01F6M8S930000B5V5G2M2GBRHN,https://cdn.7tv.app/emote/01F6M8S930000B5V5G2M2GBRHN/4x.webp
ALO,01FGFJG39R00021TQRJX35MT9B,https://cdn.7tv.app/emote/01FGFJG39R00021TQRJX35MT9B/4x.webp
spooky,01FJC3NJCG000BDMGTVBZVX2K8,https://cdn.7tv.app/emote/01FJC3NJCG000BDMGTVBZVX2K8/4x.webp
peepoGamer,01FFS8Y0W00000JT8GHDKHJBJG,https://cdn.7tv.app/emote/01FFS8Y0W00000JT8GHDKHJBJG/4x.webp
VV,01HW0EECRR0005KAADWK50G6SF,https://cdn.7tv.app/emote/01HW0EECRR0005KAADWK50G6SF/4x.webp
docSmash,01F76JQGX0000F17N8G1S6AFAB,https://cdn.7tv.app/emote/01F76JQGX0000F17N8G1S6AFAB/4x.webp
PianoTime,01EZY9HFY8000CYST6006V20TD,https://cdn.7tv.app/emote/01EZY9HFY8000CYST6006V20TD/4x.webp
Bedge,01F6MXJD8R000F76KNAAV5HDGD,https://cdn.7tv.app/emote/01F6MXJD8R000F76KNAAV5HDGD/4x.webp
1984,01F6WDQ2EG00007614EPW3P4T6,https://cdn.7tv.app/emote/01F6WDQ2EG00007614EPW3P4T6/4x.webp
makniom,01J0ZR3RFR000BMH9V93EWR2SZ,https://cdn.7tv.app/emote/01J0ZR3RFR000BMH9V93EWR2SZ/4x.webp
hellderMEWING,01HVYJSNNG0005KAADWK50G272,https://cdn.7tv.app/emote/01HVYJSNNG0005KAADWK50G272/4x.webp
WICKED,01F6NM2T080003C6R1CKK0T0P2,https://cdn.7tv.app/emote/01F6NM2T080003C6R1CKK0T0P2/4x.webp
FLASHBANG,01F7CTADRG000351ERP2WA0ME9,https://cdn.7tv.app/emote/01F7CTADRG000351ERP2WA0ME9/4x.webp
RAGEY,01GBFAYKGR000FWWN7MDZZ8XQN,https://cdn.7tv.app/emote/01GBFAYKGR000FWWN7MDZZ8XQN/4x.webp
Grrr,01GSXPAFFG000F54AV8GPAGY5Y,https://cdn.7tv.app/emote/01GSXPAFFG000F54AV8GPAGY5Y/4x.webp
